algorithm,run,best_f,x1,x2,dist_to_opt,success,runtime_s,iters
GD_Fixed,1,9.989702,2.984408,-1.009178,3.150418,0,0.0365,5000
GD_Fixed,2,17.070209,2.977237,1.838449,3.499119,0,0.036,5000
GD_Fixed,3,37.742404,-2.985184,4.823986,5.672933,0,0.035,5000
GD_Fixed,4,17.914342,2.979755,2.984668,4.217486,0,0.0365,5000
GD_Fixed,5,10.042631,-3.003028,-0.983135,3.159863,0,0.035,5000
GD_Fixed,6,10.030855,-1.013565,2.976849,3.144669,0,0.036,5000
GD_Fixed,7,10.017753,1.01251,2.990848,3.157586,0,0.0355,5000
GD_Fixed,8,9.957642,-0.989145,-2.982209,3.141971,0,0.036,5000
GD_Fixed,9,9.9599,0.989433,-2.980194,3.140148,0,0.036,5000
GD_Fixed,10,9.953731,2.984485,0.990387,3.144522,0,0.0365,5000
GD_Fixed,11,9.958796,2.979193,-0.99879,3.142161,0,0.036,5000
GD_Fixed,12,37.742392,4.823986,2.985071,5.672873,0,0.0351,5000
GD_Fixed,13,17.913438,2.989207,-2.983275,4.223185,0,0.036,5000
GD_Fixed,14,28.787817,-0.000424,-4.823986,4.823986,0,0.037,5000
GD_Fixed,15,17.070197,-2.992267,1.838437,3.51191,0,0.0355,5000
GD_Fixed,16,36.891408,1.83846,4.823986,5.162439,0,0.036,5000
GD_Fixed,17,9.103773,-1.838437,-0.990431,2.088254,0,0.037,5000
GD_Fixed,18,8.956073,-0.002408,-2.986131,2.986132,0,0.0355,5000
GD_Fixed,19,8.960218,-2.982644,0.004842,2.982648,0,0.036,5000
GD_Fixed,20,17.060573,-2.981759,1.838451,3.502968,0,0.035,5000
GD_Fixed,21,9.964799,-0.986579,2.982264,3.141216,0,0.0355,5000
GD_Fixed,22,9.596403,2.050715,-1.921366,2.810174,0,0.036,5000
GD_Fixed,23,18.029161,2.963939,2.971707,4.197139,0,0.0365,5000
GD_Fixed,24,8.974042,-1.021172,-1.843767,2.107669,0,0.037,5000
GD_Fixed,25,17.068328,1.838257,-2.985164,3.505766,0,0.035,5000
GD_Fixed,26,36.313237,-3.07294,-5.04461,5.906865,0,0.0345,5000
GD_Fixed,27,17.107999,2.973676,1.837954,3.495829,0,0.035,5000
GD_Fixed,28,17.062488,1.838431,2.988657,3.508832,0,0.036,5000
GD_Fixed,29,1.056586,0.017432,0.997617,0.997769,0,0.0355,5000
GD_Fixed,30,18.012247,-2.962003,-2.986513,4.206272,0,0.035,5000
GD_Decaying,1,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,2,1e-06,-5.8e-05,-5.8e-05,8.2e-05,1,0.0371,5000
GD_Decaying,3,1e-06,-5.8e-05,-5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,4,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.034,5000
GD_Decaying,5,1e-06,5.8e-05,5.8e-05,8.2e-05,1,0.0365,5000
GD_Decaying,6,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.037,5000
GD_Decaying,7,1e-06,5.8e-05,-5.8e-05,8.2e-05,1,0.0355,5000
GD_Decaying,8,1e-06,5.8e-05,5.8e-05,8.2e-05,1,0.035,5000
GD_Decaying,9,1e-06,-5.8e-05,-5.8e-05,8.2e-05,1,0.035,5000
GD_Decaying,10,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.0365,5000
GD_Decaying,11,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,12,1e-06,-5.8e-05,5.8e-05,8.2e-05,1,0.036,5000
GD_Decaying,13,1e-06,-5.8e-05,-5.8e-05,8.2e-05,1,0.0366,5000
